id,x,y,w,h
ani001-Attack-0-1,1705,1814,27,72
ani001-Attack-0-2,1853,957,28,73
ani001-Attack-0-3,241,1811,28,75
ani001-Attack-0-4,703,2616,27,67
ani001-Attack-0-5,4726,2035,27,78
ani001-Attack-0-6,3697,534,28,68
ani001-Attack-1-1,4754,1372,93,67
ani001-Attack-1-2,2589,51,93,62
ani001-Attack-1-3,4226,521,97,60
ani001-Attack-1-4,587,544,117,55
ani001-Attack-1-5,1402,333,112,55
ani001-Attack-1-6,4030,333,106,54
ani001-Attack-2-1,877,197,124,55
ani001-Attack-2-2,1657,0,122,44
ani001-Attack-2-3,0,470,127,41
ani001-Attack-2-4,158,73,154,75
ani001-Attack-2-5,158,0,158,73
ani001-Attack-2-6,0,141,141,65
ani001-Attack-3-1,4756,1001,94,78
ani001-Attack-3-2,4902,1363,93,65
ani001-Attack-3-3,4129,486,97,62
ani001-Attack-3-4,1768,195,113,107
ani001-Attack-3-5,1779,0,121,104
ani001-Attack-3-6,4249,101,107,93
ani001-Attack-4-1,644,1513,27,90
ani001-Attack-4-2,4726,1956,27,79
ani001-Attack-4-3,716,835,28,79
ani001-Attack-4-4,130,216,28,120
ani001-Attack-4-5,444,204,26,117
ani001-Attack-4-6,284,530,28,104
ani001-Attack-5-1,4662,1045,94,78
ani001-Attack-5-2,4756,1157,94,65
ani001-Attack-5-3,4129,548,97,62
ani001-Attack-5-4,744,259,118,109
ani001-Attack-5-5,1276,332,112,105
ani001-Attack-5-6,4137,309,106,93
ani001-Attack-6-1,595,275,124,54
ani001-Attack-6-2,1535,0,122,46
ani001-Attack-6-3,158,436,127,44
ani001-Attack-6-4,316,0,154,79
ani001-Attack-6-5,0,0,158,75
ani001-Attack-6-6,0,75,141,66
ani001-Attack-7-1,4902,1165,93,66
ani001-Attack-7-2,4902,1428,93,65
ani001-Attack-7-3,4235,455,97,66
ani001-Attack-7-4,1402,388,112,55
ani001-Attack-7-5,1657,44,121,62
ani001-Attack-7-6,4356,101,107,60
ani001-Stand-0-1,2092,749,28,76
ani001-Stand-0-2,946,800,28,77
ani001-Stand-0-3,2092,578,28,77
ani001-Stand-0-4,2092,655,28,77
ani001-Stand-0-5,1853,881,28,76
ani001-Stand-0-6,4410,2381,29,76
ani001-Stand-1-1,4568,1217,93,70
ani001-Stand-1-2,856,749,90,71
ani001-Stand-1-3,158,1229,89,70
ani001-Stand-1-4,744,829,90,70
ani001-Stand-1-5,2333,283,91,70
ani001-Stand-1-6,4661,1264,93,70
ani001-Stand-2-1,1023,151,124,55
ani001-Stand-2-2,862,484,118,53
ani001-Stand-2-3,158,786,116,51
ani001-Stand-2-4,470,575,117,52
ani001-Stand-2-5,1408,108,120,52
ani001-Stand-2-6,158,592,123,54
ani001-Stand-3-1,4568,1067,94,78
ani001-Stand-3-2,744,682,90,74
ani001-Stand-3-3,269,1124,89,73
ani001-Stand-3-4,744,756,90,73
ani001-Stand-3-5,2006,411,92,75
ani001-Stand-3-6,4568,823,95,77
ani001-Stand-4-1,829,1561,27,90
ani001-Stand-4-2,829,1651,27,86
ani001-Stand-4-3,716,672,28,83
ani001-Stand-4-4,829,1737,27,85
